"new_simple_name","taxon_id","kingdom","class","new_iucn","new_protected","new_redlistTW","redlistTW_date"
"Junonia almana almana","t0107095","Animalia","Insecta",NA,NA,"NLC","2025-05-01"
"Vanessa indica indica","t0107096","Animalia","Insecta",NA,NA,"NLC","2025-05-01"
"Vanessa cardui cardui","t0107097","Animalia","Insecta",NA,NA,"NLC","2025-05-01"
"Junonia iphita iphita","t0107101","Animalia","Insecta",NA,NA,"NLC","2025-05-01"
"Eurema drona","t0107537","Animalia","Insecta",NA,NA,"NVU","2025-05-01"
"Tajuria yajna","t0107538","Animalia","Insecta",NA,NA,"NNT","2025-05-01"
"Aporia kuangtungensis","t0107539","Animalia","Insecta",NA,NA,"NVU","2025-05-01"
"Daimio tethys","t0107540","Animalia","Insecta",NA,NA,"NLC","2025-05-01"
"Melanitis leda leda","t0122530","Animalia","Insecta",NA,NA,"NVU","2025-05-01"
"Ypthima argus","t0123930","Animalia","Insecta",NA,NA,"NNT","2025-05-01"
"Macromia cupricincta","t0124888","Animalia","Insecta",NA,NA,"DD","2025-05-01"
"Sympetrum infuscatum","t0124891","Animalia","Insecta",NA,NA,"NE","2025-05-01"
"Sympetrum parvulum","t0124892","Animalia","Insecta",NA,NA,"NE","2025-05-01"
"Pseudagrion rubriceps rubriceps","t0124893","Animalia","Insecta",NA,NA,"DD","2025-05-01"
